index,totalseconds,Gender,Age,Edu,Marriage,ASC1,ASC2,ASC3,ASC4,ASC5,T1,OSC1,OSC2,OSC3,OSC4,OSC5,OSC6,RD1,RD2,RD3,RD4,RD5,T2,POS1,POS2,POS3,POS4,POS5,LS1,LS2,LS3,LS4,LS5,DI1,DI2,DI3,T3,DC1,DC2,DC3,UI1,UI2,UI3,UC1,UC2,UC3,SCD,USC,DSC,totalvalue
216,278,1,23,4,1,6,5,5,6,2,7,6,7,5,6,6,4,5,3,5,3,5,1,3,2,4,3,6,4,3,4,4,2,5,6,6,7,5,4,5,5,6,6,2,3,3,6,6,3,200
217,217,2,26,4,2,5,4,5,4,3,7,5,4,7,4,4,4,5,4,5,5,4,1,3,4,4,5,4,4,4,3,4,3,5,5,6,7,4,4,5,5,4,4,6,5,4,5,4,4,195
218,249,2,29,4,2,4,7,6,7,2,7,5,3,6,6,5,1,4,2,1,1,3,1,2,3,2,3,4,4,3,3,2,1,3,2,5,7,3,6,5,4,5,4,3,5,3,6,5,2,166
219,235,2,36,3,2,3,4,4,3,6,7,2,5,4,3,5,4,3,2,1,4,1,1,3,2,2,2,1,5,5,6,6,4,3,2,3,7,4,5,5,4,5,5,4,5,5,4,2,2,163
220,209,2,31,4,2,6,7,6,7,2,7,6,6,6,7,6,6,6,6,2,5,3,1,6,6,6,7,6,6,6,6,6,6,6,6,6,7,5,5,6,6,7,6,2,2,2,7,6,2,237
221,228,2,23,4,1,3,4,4,5,3,7,5,5,6,5,6,3,6,3,6,3,6,1,3,2,2,2,3,5,4,5,2,3,5,5,6,7,4,5,5,6,6,5,3,4,5,6,5,4,193
222,221,2,22,3,1,5,6,7,5,4,7,5,4,6,5,4,6,5,7,6,4,5,1,6,5,5,4,7,5,6,4,5,5,6,6,5,7,6,5,4,6,7,6,5,5,6,6,7,1,232
223,237,1,25,4,1,5,6,5,3,4,7,5,6,5,7,5,3,5,3,2,2,4,1,2,2,4,5,3,3,5,5,4,3,5,2,5,7,4,6,5,6,5,6,3,5,5,6,5,3,192
225,303,2,27,4,2,6,5,7,5,6,7,6,5,7,5,5,2,6,4,2,3,4,1,2,4,5,5,2,5,3,5,3,2,6,7,5,7,5,4,6,7,6,7,6,5,7,7,6,2,215
226,320,2,37,4,2,3,2,7,1,3,7,2,7,2,2,4,6,4,1,1,3,1,1,1,1,2,3,1,4,4,5,5,2,1,1,1,7,1,5,2,7,6,6,4,2,6,6,5,2,147
227,206,1,19,4,1,2,6,6,4,4,7,5,3,5,4,5,6,4,3,1,1,2,1,4,3,4,2,2,4,4,5,3,3,5,4,5,7,4,6,6,5,5,6,5,4,4,4,3,3,179
229,216,1,35,4,2,6,7,5,6,3,7,5,7,5,6,6,4,5,4,6,3,7,1,3,2,3,6,5,3,2,4,4,1,6,5,4,7,5,4,5,4,6,5,7,6,5,4,5,3,207
